"FMTNAME","START","LABEL"
"msa13X",47260,"Virginia Beach-Norfolk-Newport News, VA-NC~"
"msa13X",47300,"Visalia-Porterville, CA"
"msa13X",47380,"Waco, TX~"
"msa13X",47580,"Warner Robins, GA~"
"msa13X",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV~"
"msa13X",47940,"Waterloo-Cedar Falls, IA"
"msa13X",48060,"Watertown-Fort Drum, NY"
"msa13X",48140,"Wausau, WI"
"msa13X",48620,"Wichita, KS~"
"msa13X",48660,"Wichita Falls, TX"
"msa13X",48700,"Williamsport, PA"
"msa13X",49020,"Winchester, VA-WV"
"msa13X",49180,"Winston-Salem, NC~"
"msa13X",49340,"Worcester, MA-CT~"
"msa13X",49420,"Yakima, WA"
"msa13X",49620,"York-Hanover, PA"
"msa13X",49660,"Youngstown-Warren-Boardman, OH-PA"
"msa13X",49740,"Yuma, AZ"
"msa5yr13X",0,"Not in MSA or MSA code not reported"
"msa5yr13X",10180,"Abilene, TX"
"msa5yr13X",10420,"Akron, OH"
"msa5yr13X",10500,"Albany, GA"
"msa5yr13X",10540,"Albany, OR"
"msa5yr13X",10580,"Albany-Schenectady-Troy, NY"
"msa5yr13X",10740,"Albuquerque, NM"
"msa5yr13X",10900,"Allentown-Bethlehem-Easton, PA-NJ"
"msa5yr13X",11020,"Altoona, PA"
"msa5yr13X",11100,"Amarillo, TX~"
"msa5yr13X",11460,"Ann Arbor, MI"
"msa5yr13X",11500,"Anniston-Oxford-Jacksonville, AL"
"msa5yr13X",11540,"Appleton, WI"
"msa5yr13X",11700,"Asheville, NC"
"msa5yr13X",12020,"Athens-Clarke County, GA"
"msa5yr13X",12060,"Atlanta-Sandy Springs-Roswell, GA~"
"msa5yr13X",12100,"Atlantic City-Hammonton, NJ"
"msa5yr13X",12220,"Auburn-Opelika, AL"
"msa5yr13X",12260,"Augusta-Richmond County, GA-SC~"
"msa5yr13X",12420,"Austin-Round Rock, TX"
"msa5yr13X",12540,"Bakersfield, CA"
"msa5yr13X",12580,"Baltimore-Columbia-Towson, MD"
"msa5yr13X",12620,"Bangor, ME~"
"msa5yr13X",12700,"Barnstable Town, MA~"
"msa5yr13X",12940,"Baton Rouge, LA"
"msa5yr13X",12980,"Battle Creek, MI"
"msa5yr13X",13140,"Beaumont-Port Arthur, TX~"
"msa5yr13X",13380,"Bellingham, WA"
"msa5yr13X",13460,"Bend-Redmond, OR"
"msa5yr13X",13740,"Billings, MT~"
"msa5yr13X",13780,"Binghamton, NY"
"msa5yr13X",13820,"Birmingham-Hoover, AL"
"msa5yr13X",13980,"Blacksburg-Christiansburg-Radford, VA~"
"msa5yr13X",14010,"Bloomington, IL~"
"msa5yr13X",14020,"Bloomington, IN~"
"msa5yr13X",14260,"Boise City, ID"
"msa5yr13X",14460,"Boston-Cambridge-Newton, MA-NH~"
"msa5yr13X",14500,"Boulder, CO"
"msa5yr13X",14540,"Bowling Green, KY~"
"msa5yr13X",14740,"Bremerton-Silverdale, WA"
"msa5yr13X",14860,"Bridgeport-Stamford-Norwalk, CT~"
"msa5yr13X",15180,"Brownsville-Harlingen, TX"
"msa5yr13X",15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
"msa5yr13X",15500,"Burlington, NC"
"msa5yr13X",15540,"Burlington-South Burlington, VT~"
"msa5yr13X",15680,"California-Lexington Park, MD"
"msa5yr13X",15940,"Canton-Massillon, OH"
"msa5yr13X",15980,"Cape Coral-Fort Myers, FL"
"msa5yr13X",16060,"Carbondale-Marion, IL~"
"msa5yr13X",16300,"Cedar Rapids, IA"
"msa5yr13X",16540,"Chambersburg-Waynesboro, PA"
"msa5yr13X",16580,"Champaign-Urbana, IL"
"msa5yr13X",16620,"Charleston, WV~"
